Name,Party,State
"Tazeen Fatma, Dr.",SP,Uttar Pradesh
"Tendulkar, Shri Sachin Ramesh",NOM.,Nominated
"Thakur, Dr. C.P.",BJP,Bihar
"Thakur, Shri Ram Nath",JD(U),Bihar
"Thakur, Smt. Viplove",INC,Himachal Pradesh
"Tirkey, Shri Dilip Kumar",BJD,Odisha
"Tiwari, Shri Alok",SP,Uttar Pradesh
"Tiwari, Shri Pramod",INC,Uttar Pradesh
"Tlau, Shri Ronald Sapa",INC,Mizoram
"Tripathi, Shri D.P.",NCP,Maharashtra
"Tulsi, Shri K.T.S.",NOM.,Nominated
"Tundiya, Mahant Shambhuprasadji",BJP,Gujarat
"Vadodia, Shri Lal Sinh",BJP,Gujarat
"Vaithilingam, Shri R.",AIADMK,Tamil Nadu
"Veerendra Kumar, Shri M.P.",JD(U),Kerala
"Vegad, Shri Shankarbhai N.",BJP,Gujarat
"Venkatesh, Shri T.G.",TDP,Andhra Pradesh
"Verma, Shri Beni Prasad",SP,Uttar Pradesh
"Verma, Smt. Chhaya",INC,Chhattisgarh
"Verma, Shri Ramkumar",BJP,Rajasthan
"Verma, Shri Ravi Prakash",SP,Uttar Pradesh
"Vijayakumar, Shri A.",AIADMK,Tamil Nadu
"Vijila Sathyananth, Smt.",AIADMK,Tamil Nadu
"Vora, Shri Motilal",INC,Chhattisgarh
"Yadav, Shri Bhupender",BJP,Rajasthan
"Yadav, Dr. Chandrapal Singh",SP,Uttar Pradesh
"Yadav, Shri Darshan Singh",SP,Uttar Pradesh
"Yadav, Prof. Ram Gopal",SP,Uttar Pradesh
"Yadav, Shri Sharad",JD(U),Bihar
"Yadav, Ch. Sukhram Singh",SP,Uttar Pradesh
"Yechury, Shri Sitaram",CPI(M),West Bengal
