Name of Member,Party Name,Party Full Name,Constituency,State
"Pandey,Dr. Mahendra Nath",BJP,Bharatiya Janata Party,Chandauli,Uttar Pradesh
"Pandey,Shri Rajesh",BJP,Bharatiya Janata Party,Kushi Nagar,Uttar Pradesh
"Pandey,Shri Ravindra Kumar",BJP,Bharatiya Janata Party,Giridih,Jharkhand
"Pandula,Dr. Ravindra Babu",TDP,Telugu Desam Party,Amalapuram,Andhra Pradesh
"Parthipan,Shri R.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Theni,Tamil Nadu
"Paswan,Shri Chhedi",BJP,Bharatiya Janata Party,Sasaram,Bihar
"Paswan,Shri Chirag",Lok Jan Shakti Party,Lok Jan Shakti Party,Jamui,Bihar
"Paswan,Shri Kamlesh",BJP,Bharatiya Janata Party,Bansgaon,Uttar Pradesh
"Paswan,Shri Ram Vilas",Lok Jan Shakti Party,Lok Jan Shakti Party,Hajipur,Bihar
"Paswan,Shri Ramchandra",Lok Jan Shakti Party,Lok Jan Shakti Party,Samastipur,Bihar
"Patasani,Dr. (Prof.) Prasanna Kumar",BJD,Biju Janata Dal,Bhubaneswar,Odisha
"Patel,Smt. Anupriya",Apna Dal,Apna Dal,Mirzapur,Uttar Pradesh
"Patel,Shri Devji Mansingram",BJP,Bharatiya Janata Party,Jalore,Rajasthan
"Patel,Shri Dilip M.",BJP,Bharatiya Janata Party,Anand,Gujarat
"Patel,Smt. Jayshreeben",BJP,Bharatiya Janata Party,Mehsana,Gujarat
"Patel,Dr. K. C.",BJP,Bharatiya Janata Party,Valsad,Gujarat
"Patel,Shri Lalubhai Babubhai",BJP,Bharatiya Janata Party,Daman,Daman and Diu
"Patel,Shri Natubhai Gomanbhai",BJP,Bharatiya Janata Party,Dadra,Dadra and Nagar Haveli
"Patel,Shri Prahlad Singh",BJP,Bharatiya Janata Party,Damoh,Madhya Pradesh
"Patel,Shri Subhash",BJP,Bharatiya Janata Party,Khargone,Madhya Pradesh
"Pathak,Smt. Riti",BJP,Bharatiya Janata Party,Sidhi,Madhya Pradesh
"Patil,Shri A.T. (Nana)",BJP,Bharatiya Janata Party,Jalgaon,Maharashtra
"Patil,Shri Bheemrao Baswanthrao",Telangana Rashtra Samithi,Telangana Rashtra Samithi,Zahirabad,Telangana
"Patil,Shri C. R.",BJP,Bharatiya Janata Party,Navsari,Gujarat
"Patil,Shri Kapil Moreshwar",BJP,Bharatiya Janata Party,Bhiwandi,Maharashtra
"Patil,Shri Sanjay(Kaka) Ramchandra",BJP,Bharatiya Janata Party,Sangli,Maharashtra
"Patil,Shri Vijaysinh Mohite",NCP,Nationalist Congress Party,Madha,Maharashtra
"Patle,Smt. Kamla Devi",BJP,Bharatiya Janata Party,Janjgir-Champa,Chhattisgarh
"Patole,Shri Nanabhau Falgunrao",BJP,Bharatiya Janata Party,Bhandara-Gondiya,Maharashtra
"Paul,Shri Tapas",TMC,All India Trinamool Congress,Krishnanagar,West Bengal
"Phoole,Sushree Sadhvi Savitri Bai",BJP,Bharatiya Janata Party,Bahraich,Uttar Pradesh
"Poddar,Smt. Aparupa",TMC,All India Trinamool Congress,Arambagh,West Bengal
"Prabakaran,Shri K.R.P.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Tirunelveli,Tamil Nadu
"Pradhan,Shri Nagendra Kumar",BJD,Biju Janata Dal,Sambalpur,Odisha
"Prasad,Dr. Bhagirath",BJP,Bharatiya Janata Party,Bhind,Madhya Pradesh
"Premachandran,Shri N.K.",Revolutionary Socialist Party,Revolutionary Socialist Party,Kollam,Kerala
"Pusapati,Shri Ashok Gajapathi Raju",TDP,Telugu Desam Party,Vizianagaram,Andhra Pradesh
"Puttaraju,Shri C.S.",Janata Dal (Secular),Janata Dal (Secular),Mandya,Karnataka
"Raajhaa,Shri A. Anwhar",AIADMK,All India Anna Dravida Munnetra Kazhagam,Ramanathapuram,Tamil Nadu
"Radadiya,Shri Vitthalbhai Hansrajbhai",BJP,Bharatiya Janata Party,Porbandar,Gujarat
"Radhakrishnan,Shri Pon",BJP,Bharatiya Janata Party,Kanniyakumari,Tamil Nadu
"Radhakrishnan,Shri R.",All India N.R. Congress,All India N.R. Congress,Puducherry,Puducherry
"Radhakrishnan,Shri T.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Virudhunagar,Tamil Nadu
"Raghavan,Shri M. K.",INC,Indian National Congress,Kozhikode,Kerala
"Rai,Shri Nityanand",BJP,Bharatiya Janata Party,Ujiarpur,Bihar
"Rai,Shri Prem Das",Sikkim Democratic Front,Sikkim Democratic Front,Sikkim,Sikkim
"Raj,Smt. Krishna",BJP,Bharatiya Janata Party,Shahjahanpur,Uttar Pradesh
"Raj,Dr. Udit",BJP,Bharatiya Janata Party,North West,NCT of Delhi
"Rajbhar,Shri Hari Narayan",BJP,Bharatiya Janata Party,Ghosi,Uttar Pradesh
"Rajendran,Shri S.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Viluppuram,Tamil Nadu
"Rajesh,Shri M. B.",CPI (Marxist),Communist Party of India (Marxist),Palakkad,Kerala
"Rajoria,Dr. Manoj",BJP,Bharatiya Janata Party,Karauli-Dholpur,Rajasthan
"Rajput,Shri Mukesh",BJP,Bharatiya Janata Party,Farrukhabad,Uttar Pradesh
"Raju,Shri Gokaraju Ganga",BJP,Bharatiya Janata Party,Narsapuram,Andhra Pradesh
"Ram,Shri Janak",BJP,Bharatiya Janata Party,Gopalganj,Bihar
"Ram,Shri Vishnu Dayal",BJP,Bharatiya Janata Party,Palamu,Jharkhand
"Ram Charitra Nishad,Shri",BJP,Bharatiya Janata Party,Machhlishahr,Uttar Pradesh
"Ram Mohan Naidu,Shri Kinjarapu",TDP,Telugu Desam Party,Srikakulam,Andhra Pradesh
"Ram Shankar,Prof. (Dr.)",BJP,Bharatiya Janata Party,Agra,Uttar Pradesh
"Ramachandran,Shri Krishnan Narayanasamy",AIADMK,All India Anna Dravida Munnetra Kazhagam,Sriperumbudur,Tamil Nadu
"Ramadoss,Dr. Anbumani",Pattali Makkal Katchi,Pattali Makkal Katchi,Dharmapuri,Tamil Nadu
"Ranjan,Smt. Ranjeet",INC,Indian National Congress,Supaul,Bihar
"Ranjan (Pappu Yadav),Shri Rajesh",RJD,Rashtriya Janata Dal,Madhepura,Bihar
"Rao,Shri Konakalla Narayana",TDP,Telugu Desam Party,Machilipatnam,Andhra Pradesh
"Rao,Shri Rayapati Sambasiva",TDP,Telugu Desam Party,Narasaraopet,Andhra Pradesh
"Rao (Avanthi),Shri Muthamsetti Srinivasa",TDP,Telugu Desam Party,Anakapalle,Andhra Pradesh
"Rao Inderjit Singh,",BJP,Bharatiya Janata Party,Gurgaon,Haryana
"Rathod,Shri Dipsinh Shankarsinh",BJP,Bharatiya Janata Party,Sabarkantha,Gujarat
"Rathore,Shri Hariom Singh",BJP,Bharatiya Janata Party,Rajsamand,Rajasthan
"Rathore,Col. Rajyavardhan Singh",BJP,Bharatiya Janata Party,Jaipur,Rajasthan
"Rathwa,Shri Ramsinh Pataliyabhai",BJP,Bharatiya Janata Party,Chhota,Gujarat
"Raut,Shri Vinayak Bhaurao",Shiv Sena,Shiv Sena,Ratnagiri-Sindhudurg,Maharashtra
"Rawal,Shri Paresh",BJP,Bharatiya Janata Party,Ahmedabad,Gujarat
"Rawat,Smt. Priyanka Singh",BJP,Bharatiya Janata Party,Barabanki,Uttar Pradesh
"Ray,Shri Bishnu Pada",BJP,Bharatiya Janata Party,Andaman,Andaman and Nicobar Islands
"Ray,Dr. Ravindra Kumar",BJP,Bharatiya Janata Party,Kodarma,Jharkhand
"Reddy,Shri A.P. Jithender",Telangana Rashtra Samithi,Telangana Rashtra Samithi,Mahabubnagar,Telangana
"Reddy,Shri Ch. Malla",TDP,Telugu Desam Party,Malkajgiri,Telangana
"Reddy,Shri J.C. Divakar",TDP,Telugu Desam Party,Anantapur,Andhra Pradesh
"Reddy,Shri Konda Vishweshwar",Telangana Rashtra Samithi,Telangana Rashtra Samithi,Chevella,Telangana
"Reddy,Shri Kotha Prabhakar",Telangana Rashtra Samithi,Telangana Rashtra Samithi,Medak,Telangana
"Reddy,Shri Mekapati Rajamohan",YSRCP,Yuvajana Sramika Rythu Congress Party,Nellore,Andhra Pradesh
"Reddy,Shri Midhun",YSRCP,Yuvajana Sramika Rythu Congress Party,Rajampet,Andhra Pradesh
"Reddy,Shri Ponguleti Srinivasa",YSRCP,Yuvajana Sramika Rythu Congress Party,Khammam,Telangana
"Reddy,Shri S.P.Y.",YSRCP,Yuvajana Sramika Rythu Congress Party,Nandyal,Andhra Pradesh
"Reddy,Shri Y. S. Avinash",YSRCP,Yuvajana Sramika Rythu Congress Party,Kadapa,Andhra Pradesh
"Rijiju,Shri Kiren",BJP,Bharatiya Janata Party,Arunachal,Arunachal Pradesh
"Rio,Shri Neiphiu",Nagaland Peoples Front,Nagaland Peoples Front,Nagaland,Nagaland
"Rori,Shri Charanjeet Singh",Indian National Lok Dal,Indian National Lok Dal,Sirsa,Haryana
"Roy,Smt. Sandhya",TMC,All India Trinamool Congress,Medinipur,West Bengal
"Roy,Prof. Saugata",TMC,All India Trinamool Congress,Dum,West Bengal
"Roy (Banerjee),Smt. Satabdi",TMC,All India Trinamool Congress,Birbhum,West Bengal
"Ruala,Shri C. L.",INC,Indian National Congress,Mizoram,Mizoram
"Rudy,Shri Rajiv Pratap",BJP,Bharatiya Janata Party,Saran,Bihar
"S.R.,Shri Vijayakumar",AIADMK,All India Anna Dravida Munnetra Kazhagam,Chennai,Tamil Nadu
"Sahu,Shri Chandu Lal",BJP,Bharatiya Janata Party,Mahasamund,Chhattisgarh
"Sahu,Shri Lakhan Lal",BJP,Bharatiya Janata Party,Bilaspur,Chhattisgarh
"Sahu,Shri Tamradhwaj",INC,Indian National Congress,Durg,Chhattisgarh
"Sai,Shri Vishnu Deo",BJP,Bharatiya Janata Party,Raigarh,Chhattisgarh
"Saini,Shri Raj Kumar",BJP,Bharatiya Janata Party,Kurukshetra,Haryana
"Salim,Shri Mohammad",CPI (Marxist),Communist Party of India (Marxist),Raiganj,West Bengal
"Samal,Dr. Kulamani",BJD,Biju Janata Dal,Jagatsinghpur,Odisha
"Sampath,Dr. Anirudhan",CPI (Marxist),Communist Party of India (Marxist),Attingal,Kerala
"Sampla,Shri Vijay",BJP,Bharatiya Janata Party,Hoshiarpur,Punjab
"Sanghamita,Prof. (Dr.) Mamtaz",TMC,All India Trinamool Congress,Bardhaman-Durgapur,West Bengal
"Sangma,Shri Conrad Kongkal",National Peoples Party,National Peoples Party,, 
"Sanjar,Shri Alok",BJP,Bharatiya Janata Party,Bhopal,Madhya Pradesh
"Sarania,Shri Naba (Hira) Kumar",Independents,Independents,Kokrajhar,Assam
"Saraswati,Shri Sumedhanand",BJP,Bharatiya Janata Party,Sikar,Rajasthan
"Saren,Dr. Uma",TMC,All India Trinamool Congress,Jhargram,West Bengal
"Sarmah,Shri Ram Prasad",BJP,Bharatiya Janata Party,Tezpur,Assam
"Satav,Shri Rajeev Shankarrao",INC,Indian National Congress,Hingoli,Maharashtra
"Sathyabama,Smt. V.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Tiruppur,Tamil Nadu
"Satpathy,Shri Tathagata",BJD,Biju Janata Dal,Dhenkanal,Odisha
"Saumitra,Shri Khan",TMC,All India Trinamool Congress,Bishnupur,West Bengal
"Sawaikar,Advocate (Shri) Narendra Keshav",BJP,Bharatiya Janata Party,South,Goa
"Sawant,Shri Arvind Ganpat",Shiv Sena,Shiv Sena,Mumbai-South,Maharashtra
"Scindia,Shri Jyotiraditya Madhavrao",INC,Indian National Congress,Guna,Madhya Pradesh
"Selvakumarachinnayan,Shri S.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Erode,Tamil Nadu
"Selvam,Shri V. Panneer",AIADMK,All India Anna Dravida Munnetra Kazhagam,Salem,Tamil Nadu
"Senguttuvan,Shri B.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Vellore,Tamil Nadu
"Senthilnathan,Shri P.R.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Sivaganga,Tamil Nadu
"Sethi,Shri Arjun Charan",BJD,Biju Janata Dal,Bhadrak,Odisha
"Shah,Smt. Mala Rajya Laxmi",BJP,Bharatiya Janata Party,Tehri Garhwal ,Uttarakhand
"Shanavas,Shri M. I.",INC,Indian National Congress,Wayanad,Kerala
"Sharma,Shri Jugal Kishore",BJP,Bharatiya Janata Party,Jammu,Jammu and Kashmir
"Sharma,Dr. Mahesh",BJP,Bharatiya Janata Party,Gautam,Uttar Pradesh
"Sharma,Shri Ram Kumar",Rashtriya Lok Samta Party,Rashtriya Lok Samta Party,Sitamarhi,Bihar
"Sharma,Shri Ram Swaroop",BJP,Bharatiya Janata Party,Mandi,Himachal Pradesh
"Shekhawat,Shri Gajendra Singh",BJP,Bharatiya Janata Party,Jodhpur,Rajasthan
"Shetti,Shri Raju alias Devappa Anna",Swabhimani Paksha,Swabhimani Paksha,Hatkanangle,Maharashtra
"Shetty,Shri Gopal Chinayya",BJP,Bharatiya Janata Party,Mumbai-North,Maharashtra
"Shewale,Shri Rahul Ramesh",Shiv Sena,Shiv Sena,Mumbai,Maharashtra
"Shinde,Dr. Shrikant Eknath",Shiv Sena,Shiv Sena,Kalyan,Maharashtra
"Shyal,Dr. Bharati Dhirubhai",BJP,Bharatiya Janata Party,Bhavnagar,Gujarat
"Siddeshwara,Shri Gowdar Mallikarjunappa",BJP,Bharatiya Janata Party,Davanagere,Karnataka
"Sigriwal,Shri Janardan Singh",BJP,Bharatiya Janata Party,Maharajganj,Bihar
"Simha,Shri Prathap",BJP,Bharatiya Janata Party,Mysore,Karnataka
"Singh,Shri Abhishek",BJP,Bharatiya Janata Party,Rajnandgaon,Chhattisgarh
"Singh,Captain Amarinder",INC,Indian National Congress,Amritsar,Punjab
"Singh,Shri Bharat",BJP,Bharatiya Janata Party,Ballia,Uttar Pradesh
"Singh,Kunwar Bharatendra",BJP,Bharatiya Janata Party,Bijnor,Uttar Pradesh
"Singh,Shri Bhola",BJP,Bharatiya Janata Party,Bulandshahr,Uttar Pradesh
"Singh,Dr. Bhola",BJP,Bharatiya Janata Party,Begusarai,Bihar
"Singh,Shri Brijbhushan Sharan",BJP,Bharatiya Janata Party,Kaiserganj,Uttar Pradesh
"Singh,Shri Devendra (Alias) Bhole Singh",BJP,Bharatiya Janata Party,Akbarpur,Uttar Pradesh
"Singh,Shri Dushyant",BJP,Bharatiya Janata Party,Jhalawar-Baran,Rajasthan
"Singh,Shri Ganesh",BJP,Bharatiya Janata Party,Satna,Madhya Pradesh
"Singh,Shri Giriraj",BJP,Bharatiya Janata Party,Nawada,Bihar
"Singh,Shri Hukum",BJP,Bharatiya Janata Party,Kairana,Uttar Pradesh
"Singh,Dr. Jitendra",BJP,Bharatiya Janata Party,Udhampur,Jammu and Kashmir
"Singh,Shri Kirti Vardhan",BJP,Bharatiya Janata Party,Gonda,Uttar Pradesh
"Singh,Dr. Krishna Pratap",BJP,Bharatiya Janata Party,Jaunpur,Uttar Pradesh
"Singh,Shri Kunwar Haribansh",Apna Dal,Apna Dal,Pratapgarh,Uttar Pradesh
"Singh,Shri Lallu",BJP,Bharatiya Janata Party,Faizabad,Uttar Pradesh
"Singh,Shri Nagendra",BJP,Bharatiya Janata Party,Khajuraho,Madhya Pradesh
"Singh,Dr. Nepal",BJP,Bharatiya Janata Party,Rampur,Uttar Pradesh
"Singh,Shri Parvesh Sahib",BJP,Bharatiya Janata Party,West,NCT of Delhi
"Singh,Shri Pashupati Nath",BJP,Bharatiya Janata Party,Dhanbad,Jharkhand
"Singh,Dr. Prabhas Kumar",BJD,Biju Janata Dal,Bargarh,Odisha
"Singh, Smt. Pratyusha Rajeshwari",BJD,Biju Janata Dal,Kandhamal,Odisha
"Singh,Shri Radha Mohan",BJP,Bharatiya Janata Party,Purvi Champaran,Bihar
"Singh,Shri Raj Kumar",BJP,Bharatiya Janata Party,Arrah,Bihar
"Singh,Shri Rajnath",BJP,Bharatiya Janata Party,Lucknow,Uttar Pradesh
"Singh,Shri Rajveer (Raju Bhaiya)",BJP,Bharatiya Janata Party,Etah,Uttar Pradesh
"Singh,Shri Rakesh",BJP,Bharatiya Janata Party,Jabalpur,Madhya Pradesh
"Singh,Shri Rama Kishore",Lok Jan Shakti Party,Lok Jan Shakti Party,Vaishali,Bihar
"Singh,Shri Ravneet",INC,Indian National Congress,Ludhiana,Punjab
"Singh,Prof. Sadhu",AAP,Aam Aadmi Party,Faridkot,Punjab
"Singh,Shri Satya Pal",BJP,Bharatiya Janata Party,Sambhal,Uttar Pradesh
"Singh,Dr. Satya Pal",BJP,Bharatiya Janata Party,Baghpat,Uttar Pradesh
"Singh,Shri Sunil Kumar",BJP,Bharatiya Janata Party,Chatra,Jharkhand
"Singh,Shri Sushil Kumar",BJP,Bharatiya Janata Party,Aurangabad,Bihar
"Singh,Shri Uday Pratap",BJP,Bharatiya Janata Party,Hoshangabad,Madhya Pradesh
"Singh,Shri Virendra",BJP,Bharatiya Janata Party,Bhadohi,Uttar Pradesh
"Singh,Dr. Yashwant",BJP,Bharatiya Janata Party,Nagina,Uttar Pradesh
"Singh Deo,Shri Kalikesh Narayan",BJD,Biju Janata Dal,Bolangir,Odisha
"Sinha,Shri Jayant",BJP,Bharatiya Janata Party,Hazaribagh,Jharkhand
"Sinha,Shri Manoj Kumar",BJP,Bharatiya Janata Party,Ghazipur,Uttar Pradesh
"Sinha,Smt. Renuka",TMC,All India Trinamool Congress,Coochbehar,West Bengal
"Sinha,Shri Shatrughan Prasad",BJP,Bharatiya Janata Party,Patna Sahib,Bihar
"Sivaprasad,Dr. Naramalli",TDP,Telugu Desam Party,Chittoor,Andhra Pradesh
"Solanki,Dr. (Prof) Kirit Premjibhai",BJP,Bharatiya Janata Party,Ahmedabad West,Gujarat
"Sonkar,Shri Vinod Kumar",BJP,Bharatiya Janata Party,Kaushambi,Uttar Pradesh
"Sonker,Smt. Neelam",BJP,Bharatiya Janata Party,Lalganj,Uttar Pradesh
"Soren,Shri Shibu",Jharkhand Mukti Morcha,Jharkhand Mukti Morcha,Dumka,Jharkhand
"Sreeramulu,Shri B.",BJP,Bharatiya Janata Party,Bellary,Karnataka
"Subba Reddy,Shri Yerram Venkata",YSRCP,Yuvajana Sramika Rythu Congress Party,Ongole,Andhra Pradesh
"Sule,Smt. Supriya Sadanand",NCP,Nationalist Congress Party,Baramati,Maharashtra
"Suman,Shri Balka",Telangana Rashtra Samithi,Telangana Rashtra Samithi,Peddapalle,Telangana
"Sumitra Mahajan (Tai),",BJP,Bharatiya Janata Party,Indore,Madhya Pradesh
"Sundaram,Shri P.R.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Namakkal,Tamil Nadu
"Suresh,Shri Doddaalahalli Kempegowda",INC,Indian National Congress,Bangalore,Karnataka
"Sushree, Uma Bharati",BJP,Bharatiya Janata Party,Jhansi,Uttar Pradesh
"Swain,Shri Ladu Kishore",BJD,Biju Janata Dal,Aska,Odisha
"Swami Maharaj, Dr. Sakshi Ji",BJP,Bharatiya Janata Party,Unnao,Uttar Pradesh
"Swaraj,Smt. Sushma",BJP,Bharatiya Janata Party,Vidisha,Madhya Pradesh
"Tadas,Shri Ramdas Chandrabhanji",BJP,Bharatiya Janata Party,Wardha,Maharashtra
"Tamta,Shri Ajay",BJP,Bharatiya Janata Party,Almora,Uttarakhand
"Tanwar,Shri Kanwar Singh",BJP,Bharatiya Janata Party,Amroha,Uttar Pradesh
"Tarai,Smt. Rita",BJD,Biju Janata Dal,Jajpur,Odisha
"Tasa,Shri Kamakhya Prasad",BJP,Bharatiya Janata Party,Jorhat,Assam
"Taslim Uddin,Shri",RJD,Rashtriya Janata Dal,Araria,Bihar
"Teacher,Smt. P.K. Sreemathi",CPI (Marxist),Communist Party of India (Marxist),Kannur,Kerala
"Teli,Shri Rameswar",BJP,Bharatiya Janata Party,Dibrugarh,Assam
"Thakur,Shri Anurag Singh",BJP,Bharatiya Janata Party,Hamirpur,Himachal Pradesh
"Thakur,Smt. Mamata",TMC,All India Trinamool Congress,Bangaon,West Bengal
"Thakur,Smt. Savitri",BJP,Bharatiya Janata Party,Dhar,Madhya Pradesh
"Thambi Durai,Dr. M.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Karur,Tamil Nadu
"Tharoor,Dr. Shashi",INC,Indian National Congress,Thiruvananthapuram,Kerala
"Thomas,Prof. Kuruppassery Varkey",INC,Indian National Congress,Ernakulam,Kerala
"Thota,Shri Narasimham",TDP,Telugu Desam Party,Kakinada,Andhra Pradesh
"Tirkey,Shri Dasrath",TMC,All India Trinamool Congress,Alipurduars,West Bengal
"Tiwari,Shri Manoj Kumar",BJP,Bharatiya Janata Party,North,NCT of Delhi
"Tomar,Shri Narendra Singh",BJP,Bharatiya Janata Party,Gwalior,Madhya Pradesh
"Tripathi,Shri Sharad",BJP,Bharatiya Janata Party,Sant Kabir Nagar,Uttar Pradesh
"Trivedi,Shri Dinesh",TMC,All India Trinamool Congress,Barrackpur,West Bengal
"Tumane,Shri Krupal Balaji",Shiv Sena,Shiv Sena,Ramtek,Maharashtra
"Udasi,Shri Shivkumar Chanabasappa",BJP,Bharatiya Janata Party,Haveri,Karnataka
"Udhayakumar,Shri M.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Dindigul,Tamil Nadu
"Usendi,Shri Vikram",BJP,Bharatiya Janata Party,Kanker,Chhattisgarh
"Utawal,Shri Manohar",BJP,Bharatiya Janata Party,Dewas,Madhya Pradesh
"V.,Shri Elumalai",AIADMK,All India Anna Dravida Munnetra Kazhagam,Arani,Tamil Nadu
"Vaghela,Shri Liladharbhai Khodaji",BJP,Bharatiya Janata Party,Patan,Gujarat
"Vanaroja,Smt. R.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Tiruvannamalai,Tamil Nadu
"Varma,Smt. Dev (Moon Moon Sen)",TMC,All India Trinamool Congress,Bankura,West Bengal
"Vasava,Shri Mansukhbhai Dhanjibhai",BJP,Bharatiya Janata Party,Bharuch,Gujarat
"Vasava,Shri Parbhubhai Nagarbhai",BJP,Bharatiya Janata Party,Bardoli,Gujarat
"Velagapalli,Dr. Vara Prasadarao",YSRCP,Yuvajana Sramika Rythu Congress Party,Tirupati,Andhra Pradesh
"Venkatesh Babu,Shri T.G.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Chennai,Tamil Nadu
"Venugopal,Shri K. C.",INC,Indian National Congress,Alappuzha,Kerala
"Venugopal,Dr. Ponnusamy",AIADMK,All India Anna Dravida Munnetra Kazhagam,Tiruvallur,Tamil Nadu
"Verma,Shri Anshul",BJP,Bharatiya Janata Party,Hardoi,Uttar Pradesh
"Verma,Shri Bhanu Pratap Singh",BJP,Bharatiya Janata Party,Jalaun,Uttar Pradesh
"Verma,Shri Rajesh",BJP,Bharatiya Janata Party,Sitapur,Uttar Pradesh
"Verma,Smt. Rekha Arun",BJP,Bharatiya Janata Party,Dhaurahra,Uttar Pradesh
"Vichare,Shri Rajan Baburao",Shiv Sena,Shiv Sena,Thane,Maharashtra
"Wanaga,Shri Chintaman Navsha",BJP,Bharatiya Janata Party,Palghar,Maharashtra
"Yadav,Shri Akshay",SP,Samajwadi Party,Firozabad,Uttar Pradesh
"Yadav,Shri Dharmendra",SP,Samajwadi Party,Badaun,Uttar Pradesh
"Yadav,Smt. Dimple",SP,Samajwadi Party,Kannauj,Uttar Pradesh
"Yadav,Shri Hukmdev Narayan",BJP,Bharatiya Janata Party,Madhubani,Bihar
"Yadav,Shri Jay Prakash Narayan",RJD,Rashtriya Janata Dal,Banka,Bihar
"Yadav,Shri Laxmi Narayan",BJP,Bharatiya Janata Party,Sagar,Madhya Pradesh
"Yadav,Shri Mulayam Singh",SP,Samajwadi Party,Azamgarh,Uttar Pradesh
"Yadav,Shri Om Prakash",BJP,Bharatiya Janata Party,Siwan,Bihar
"Yadav,Shri Ram Kripal",BJP,Bharatiya Janata Party,Pataliputra,Bihar
"Yadav,Shri Tejpratap Singh",SP,Samajwadi Party,Mainpuri,Uttar Pradesh
"Yeddyurappa,Shri B. S.",BJP,Bharatiya Janata Party,Shimoga,Karnataka
"Yellaiah,Shri Nandi",INC,Indian National Congress,Nagarkurnool,Telangana
"Yogi,Shri Chand Nath",BJP,Bharatiya Janata Party,Alwar,Rajasthan
