Name of Member,Party Name,Party Full Name,Constituency,State
"Babul Supriyo,Shri",BJP,Bharatiya Janata Party,Asansol,West Bengal
"Badal,Smt. Harsimrat Kaur",SAD,Shiromani Akali Dal,Bathinda,Punjab
"Baheria,Shri Subhash Chandra",BJP,Bharatiya Janata Party,Bhilwara,Rajasthan
"Baig,Shri Muzaffar Hussain",Jammu and Kashmir Peoples Democratic Party,Jammu and Kashmir Peoples Democratic Party,Baramulla,Jammu and Kashmir
"Bais,Shri Ramesh",BJP,Bharatiya Janata Party,Raipur,Chhattisgarh
"Baite,Shri Thangso",INC,Indian National Congress,Outer,Manipur
"Baker,Shri George",,,Nominated Anglo-Indian,West Bengal
"Bakshi,Shri Subrata",TMC,All India Trinamool Congress,Kolkata,West Bengal
"Bala,Smt. Anju",BJP,Bharatiya Janata Party,Misrikh,Uttar Pradesh
"Balyan,Dr. Sanjeev Kumar",BJP,Bharatiya Janata Party,Muzaffarnagar,Uttar Pradesh
"Bandyopadhyay,Shri Sudip",TMC,All India Trinamool Congress,Kolkata Uttar,West Bengal
"Banerjee,Shri Abhishek",TMC,All India Trinamool Congress,Diamond Harbour,West Bengal
"Banerjee,Shri Kalyan",TMC,All India Trinamool Congress,Serampore,West Bengal
"Banerjee,Shri Prasun",TMC,All India Trinamool Congress,Howrah,West Bengal
"Bansode,Shri Sharadkumar Maruti",BJP,Bharatiya Janata Party,Solapur,Maharashtra
"Barman,Shri Bijoy Chandra",TMC,All India Trinamool Congress,Jalpaiguri,West Bengal
"Barne,Shri Shrirang Appa",Shiv Sena,Shiv Sena,Maval,Maharashtra
"Basheer,Shri E. T. Mohammed",Indian Union Muslim League,Indian Union Muslim League,Ponnani,Kerala
"Bhabhor,Shri Jaswantsinh Sumanbhai",BJP,Bharatiya Janata Party,Dahod,Gujarat
"Bhagat,Shri Bodhsingh",BJP,Bharatiya Janata Party,Balaghat,Madhya Pradesh
"Bhagat,Shri Sudarshan",BJP,Bharatiya Janata Party,Lohardaga,Jharkhand
"Bhamre,Dr. Subhash Ramrao",BJP,Bharatiya Janata Party,Dhule,Maharashtra
"Bharathimohan,Shri R.K.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Mayiladuthurai,Tamil Nadu
"Bhatt,Smt. Ranjanben Dhananjay",BJP,Bharatiya Janata Party,Vadodara,Gujarat
"Bhonsle,Shri Udayanraje Pratapsingh",NCP,Nationalist Congress Party,Satara,Maharashtra
"Bhuria,Shri Kantilal",INC,Indian National Congress,Ratlam,Madhya Pradesh
"Bidhuri,Shri Ramesh",BJP,Bharatiya Janata Party,South,NCT of Delhi
"Biju,Shri Parayamparambil Kuttappan",CPI (Marxist),Communist Party of India (Marxist),Alathur,Kerala
"Birla,Shri Om",BJP,Bharatiya Janata Party,Kota,Rajasthan
"Biswas,Shri Radheshyam",All India United Democratic Front,All India United Democratic Front,Karimganj,Assam
"Bohra,Shri Ramcharan",BJP,Bharatiya Janata Party,Jaipur,Rajasthan
"Boianapalli,Shri Vinod Kumar",Telangana Rashtra Samithi,Telangana Rashtra Samithi,Karimnagar,Telangana
"Bose,Prof. (Dr.) Sugata",TMC,All India Trinamool Congress,Jadavpur,West Bengal
"Brahmpura,Shri Ranjit Singh",SAD,Shiromani Akali Dal,Khadoor Sahib,Punjab
"Butta,Smt. Renuka",YSRCP,Yuvajana Sramika Rythu Congress Party,Kurnool,Andhra Pradesh
"Chakravarty,Smt. Bijoya",BJP,Bharatiya Janata Party,Gauhati,Assam
"Chandel,Kunwar Pushpendra Singh",BJP,Bharatiya Janata Party,Hamirpur,Uttar Pradesh
"Chandrakasi,Shri M.",AIADMK,All India Anna Dravida Munnetra Kazhagam,Chidambaram,Tamil Nadu
"Chandrappa,Shri B.N.",INC,Indian National Congress,Chitradurga,Karnataka
"Chandumajra,Shri Prem Singh",SAD,Shiromani Akali Dal,Anandpur Sahib,Punjab
"Chaudhary,Shri Babulal",BJP,Bharatiya Janata Party,Fatehpur Sikri,Uttar Pradesh
"Chaudhary,Shri Birendra Kumar",BJP,Bharatiya Janata Party,Jhanjharpur,Bihar
"Chaudhary,Shri C.R.",BJP,Bharatiya Janata Party,Nagaur,Rajasthan
"Chaudhary,Shri Haribhai Parthibhai",BJP,Bharatiya Janata Party,Banaskantha,Gujarat
"Chaudhary,Shri P.P.",BJP,Bharatiya Janata Party,Pali,Rajasthan
"Chaudhary,Shri Santokh Singh",INC,Indian National Congress,Jalandhar,Punjab
"Chaudhury,Shri Jitendra",CPI (Marxist),Communist Party of India (Marxist),Tripura East,Tripura
"Chauhan,Shri Devusinh Jesingbhai",BJP,Bharatiya Janata Party,Kheda,Gujarat
"Chauhan,Shri Nand Kumar Singh",BJP,Bharatiya Janata Party,Khandwa,Madhya Pradesh
"Chauhan,Shri Nihal Chand",BJP,Bharatiya Janata Party,Ganganagar,Rajasthan
"Chauhan,Shri Prabhatsinh Pratapsinh",BJP,Bharatiya Janata Party,Panchmahal,Gujarat
"Chautala,Shri Dushyant",Indian National Lok Dal,Indian National Lok Dal,Hisar,Haryana
"Chavan,Shri Ashok Shankarrao",INC,Indian National Congress,Nanded,Maharashtra
"Chavan,Shri Harishchandra Deoram",BJP,Bharatiya Janata Party,Dindori,Maharashtra
"Chavda,Shri Vinod",BJP,Bharatiya Janata Party,Kachchh,Gujarat
"Chhewang,Shri Thupstan",BJP,Bharatiya Janata Party,Ladakh,Jammu and Kashmir
"Chhotelal,Shri",BJP,Bharatiya Janata Party,Robertsganj,Uttar Pradesh
"Chinnaraj,Shri Gopalakrishnan",AIADMK,All India Anna Dravida Munnetra Kazhagam,Nilgiris,Tamil Nadu
"Choubey,Shri Ashwini Kumar",BJP,Bharatiya Janata Party,Buxar,Bihar
"Choudhary,Shri Ram Tahal",BJP,Bharatiya Janata Party,Ranchi,Jharkhand
"Choudhury,Shri Abu Hasem Khan",INC,Indian National Congress,Maldaha Dakshin,West Bengal
"Chowdhary,Shri Pankaj",BJP,Bharatiya Janata Party,Maharajganj,Uttar Pradesh
"Chowdhury,Shri Adhir Ranjan",INC,Indian National Congress,Baharampur,West Bengal
"Chudasama,Shri Rajeshbhai Naranbhai",BJP,Bharatiya Janata Party,Junagadh,Gujarat
"Col. Choudhary,Sona Ram, VSM (Retd.)",BJP,Bharatiya Janata Party,Barmer,Rajasthan
"Danve,Shri Raosaheb Patil",BJP,Bharatiya Janata Party,Jalna,Maharashtra
"Dastidar,Dr. (Smt.) Kakoli Ghosh",TMC,All India Trinamool Congress,Barasat,West Bengal
"Datta,Shri Sankar Prasad",CPI (Marxist),Communist Party of India (Marxist),Tripura West,Tripura
"Dattatreya,Shri Bandaru",BJP,Bharatiya Janata Party,Secunderabad,Telangana
"Dayakar,Shri Pasunoori",Telangana Rashtra Samithi,Telangana Rashtra Samithi,Warangal,Telangana
"De(Nag),Dr. (Smt.) Ratna",TMC,All India Trinamool Congress,Hooghly,West Bengal
"Deka,Shri Ramen",BJP,Bharatiya Janata Party,Mangaldoi,Assam
"Deo,Shri Arka Keshari",BJD,Biju Janata Dal,Kalahandi,Odisha
"Dev,Km. Sushmita",INC,Indian National Congress,Silchar,Assam
"Devegowda,Shri H.D.",Janata Dal (Secular),Janata Dal (Secular),Hassan,Karnataka
"Devi,Smt. Rama",BJP,Bharatiya Janata Party,Sheohar,Bihar
"Devi,Smt. Veena",Lok Jan Shakti Party,Lok Jan Shakti Party,Munger,Bihar
"Dharambir Singh,Shri",BJP,Bharatiya Janata Party,Bhiwani-Mahendragarh,Haryana
"Dhotre,Shri Sanjay Shamrao",BJP,Bharatiya Janata Party,Akola,Maharashtra
"Dhruvanarayana,Shri R.",INC,Indian National Congress,Chamrajanagar,Karnataka
"Dhurve,Smt. Jyoti",BJP,Bharatiya Janata Party,Betul,Madhya Pradesh
"Diwakar,Shri Rajesh Kumar",BJP,Bharatiya Janata Party,Hathras,Uttar Pradesh
"Dohrey,Shri Ashok Kumar",BJP,Bharatiya Janata Party,Etawah,Uttar Pradesh
"Dr. Kirit Somaiya,",BJP,Bharatiya Janata Party,Mumbai-North-East,Maharashtra
"Dubey,Shri Nishikant",BJP,Bharatiya Janata Party,Godda,Jharkhand
"Dubey,Shri Satish Chandra",BJP,Bharatiya Janata Party,Valmiki Nagar,Bihar
"Dwivedi,Shri Harish",BJP,Bharatiya Janata Party,Basti,Uttar Pradesh
"Engti,Shri Biren Singh",INC,Indian National Congress,Autonomous,Assam
"Ering,Shri Ninong",INC,Indian National Congress,Arunachal,Arunachal Pradesh
